pl_name,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass
EPIC 228836835 b,1,1,1,Transit,2021,0.728113,,1.1,0.098,,,,,,3782.0,0.32,
EPIC 229004835 b,1,1,1,Transit,2023,16.141132,0.1237,2.332,0.208,10.4,0.03272,0.23,804,,5868.0,1.0,0.97
EPIC 246851721 b,1,2,1,Transit,2018,6.180235,0.07229,11.781,1.051,953.49,3.0,,1401,F5 V,6202.0,1.59,1.32
EPIC 248847494 b,1,1,1,Transit,2018,3650.0,4.5,12.442,1.11,4131.79,13.0,0.0,183,,4898.0,2.7,0.9
EPIC 249893012 b,1,1,3,Transit,2020,3.5951,0.047,1.95,0.174,8.75,0.02753,0.06,1616,G8 IV/V,5430.0,1.71,1.05
EPIC 249893012 c,1,1,3,Transit,2020,15.624,0.13,3.67,0.327,14.67,0.04616,0.07,990,G8 IV/V,5430.0,1.71,1.05
EPIC 249893012 d,1,1,3,Transit,2020,35.747,0.22,3.94,0.352,10.18,0.03203,0.15,752,G8 IV/V,5430.0,1.71,1.05
FU Tau b,1,1,1,Imaging,2008,,800.0,,,5085.28,16.0,,2375,M7.25,2838.0,,0.05
G 196-3 b,1,1,1,Imaging,2024,,350.0,,,8263.53858,26.0,,1670,,,,
G 264-012 b,1,1,2,Radial Velocity,2021,2.30538,0.02279,,,,,,587,M4.0 V,3326.0,0.3,0.3
G 264-012 c,1,1,2,Radial Velocity,2021,8.0518,0.0525,,,,,,387,M4.0 V,3326.0,0.3,0.3
G 9-40 b,1,1,1,Transit,2019,5.7459982,0.0418,1.9,0.17,4.0,0.01259,0.0,441,,3395.0,0.3,0.3
GJ 1002 b,1,1,2,Radial Velocity,2022,10.3465,0.0457,,,,,,231,M5.5 V,3024.0,0.14,0.12
GJ 1002 c,1,1,2,Radial Velocity,2022,21.202,0.0738,,,,,,182,M5.5 V,3024.0,0.14,0.12
GJ 1061 b,1,1,3,Radial Velocity,2020,3.204,0.021,,,,,0.31,,M5.5 V,2953.0,0.16,0.12
GJ 1061 c,1,1,3,Radial Velocity,2020,6.689,0.035,,,,,0.29,,M5.5 V,2953.0,0.16,0.12
GJ 1061 d,1,1,3,Radial Velocity,2020,13.031,0.054,,,,,0.53,,M5.5 V,2953.0,0.16,0.12
GJ 1132 b,1,1,2,Transit,2015,1.62892911,0.0157,1.192,0.106,1.83705,0.00578,0.0118,584,,3229.0,0.22,0.19
GJ 1132 c,1,1,2,Radial Velocity,2018,8.929,0.0476,,,,,0.27,300,,3270.0,0.21,0.18
GJ 1148 b,1,1,2,Radial Velocity,2010,41.38,0.166,,,,,0.38,,,3287.0,0.36,0.34
GJ 1148 c,1,1,2,Radial Velocity,2017,532.58,0.912,,,,,0.342,,,3287.0,0.36,0.34
GJ 1151 c,1,1,1,Radial Velocity,2023,389.7,0.5714,,,,,,,M 4.5V,3280.0,0.18,0.16
GJ 1214 b,1,1,1,Transit,2009,1.58040453,0.01505,2.733,0.244,8.41,0.02646,0.0062,567,,3101.0,0.22,0.18
GJ 1252 b,1,1,1,Transit,2020,0.5182331,,1.193,0.106,1.32,0.00415,0.0,,M3,3458.0,0.39,0.38
GJ 1265 b,1,1,1,Radial Velocity,2018,3.6511,0.026,,,,,0.04,,M4.5 V,3236.0,0.19,0.18
GJ 143 b,1,1,2,Transit,2019,35.61253,0.1915,2.61,0.233,22.7,0.07142,0.188,422,K4.5,4640.0,0.69,0.73
GJ 15 A b,1,2,2,Radial Velocity,2014,11.4407,0.072,,,,,0.094,,M1,3607.0,0.38,0.38
GJ 15 A c,1,2,2,Radial Velocity,2018,7600.0,5.4,,,,,0.27,,M1,3607.0,0.38,0.38
GJ 160.2 b,1,1,1,Radial Velocity,2014,5.2354,0.053,,,,,0.06,,M0 V,4347.0,,0.69
GJ 163 b,1,1,3,Radial Velocity,2013,8.63182,0.0607,,,,,0.073,,,,,
GJ 163 c,1,1,3,Radial Velocity,2013,25.63058,0.1254,,,,,0.099,,,,,
GJ 163 d,1,1,3,Radial Velocity,2013,603.95116,1.0304,,,,,0.373,,,,,
GJ 179 b,1,1,1,Radial Velocity,2009,2288.0,2.41,,,,,0.21,,M3.5 V,3370.0,0.38,0.36
GJ 180 b,1,1,3,Radial Velocity,2014,17.133,0.092,,,,,0.07,,,,,0.43
GJ 180 c,1,1,3,Radial Velocity,2014,24.329,0.129,,,,,0.09,,M2 V,3371.0,,0.43
GJ 180 d,1,1,3,Radial Velocity,2020,106.3,0.309,,,,,0.14,,,,,0.43
GJ 2030 b,1,1,2,Radial Velocity,2022,2.38129,0.034,,,,,0.239,,,,,0.96
GJ 2030 c,1,1,2,Radial Velocity,2022,25533.11353,16.761,,,4069.15709,12.803,0.041,,,,,0.96
GJ 2056 b,1,1,1,Radial Velocity,2020,69.971,0.283,,,,,0.72,,,,,0.62
GJ 229 A c,1,3,2,Radial Velocity,2020,121.93268,0.384,,,,,0.366,,,,,0.51
GJ 229 b,1,3,2,Radial Velocity,2014,579.47495,1.086,,,,,0.404,,,,,0.51
GJ 238 b,1,1,1,Transit,2024,1.7446999,0.02123,0.566,0.05,,,,758,M2.5 V,3485.0,0.43,0.42
GJ 251 b,1,1,1,Radial Velocity,2020,14.238,0.0818,,,,,0.1,351,M3.0 V,3451.0,0.36,0.36
GJ 27.1 b,1,1,1,Radial Velocity,2014,15.819,0.101,,,,,0.08,,M0.5 V,3542.0,,0.53
GJ 273 b,1,1,2,Radial Velocity,2017,18.6498,0.091101,,,,,0.1,,M3.5,3382.0,0.29,0.29
GJ 273 c,1,1,2,Radial Velocity,2017,4.7234,0.036467,,,,,0.17,,M3.5,3382.0,0.29,0.29
GJ 3021 b,1,2,1,Radial Velocity,2000,133.71,0.49,,,,,0.511,350,G6 V,5540.0,0.9,0.9
GJ 3082 b,1,1,1,Radial Velocity,2020,11.949,0.079,,,,,0.22,,,,,0.47
