pl_name,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_massjlim,pl_dens,st_mass
WASP-48 b,1,1,1,2.14363,,16.814,1.5,254.264,0.8,0,,0.88
WASP-47 e,1,1,4,0.78961,,1.83,0.163,9.0,0.02832,0,,1.06
WASP-47 d,1,1,4,9.030501,,3.65,0.326,15.5,0.04877,0,,1.06
WASP-47 c,1,1,4,589.57,,,,447.0,1.40642,-1,,1.06
WASP-47 b,1,1,4,4.159151,,12.86,1.147,374.0,1.17674,0,,1.06
WASP-46 b,1,1,1,1.43036763,0.02335,13.159,1.174,607.0553,1.91,0,1.467,0.83
WASP-45 b,1,2,1,3.126089,0.03963,10.604,0.946,306.38812,0.964,0,1.418,0.85
WASP-44 b,1,1,1,2.423804,0.03453,12.33,1.1,276.5121,0.87,0,0.811,0.94
WASP-43 b,1,1,1,0.813475,0.0142,10.424,0.93,565.714,1.78,0,2.939,0.58
WASP-42 b,1,1,1,4.9816819,0.0561,12.576,1.122,167.49641,0.527,0,0.464,0.95
WASP-41 c,1,1,2,421.0,1.07,,,,,,,0.93
WASP-41 b,1,1,2,3.0524,,12.33,1.1,270.1555,0.85,0,,0.81
WASP-4 b,1,1,1,1.33823147,0.0226,14.807,1.321,376.94638,1.186,0,,0.86
WASP-39 b,1,1,1,4.0552842,,,,,,,,
WASP-38 b,1,1,1,6.87188,,13.787,1.23,1093.3352,3.44,0,,1.76
WASP-37 b,1,1,1,3.577469,0.0446,13.002,1.16,572.07,1.8,0,1.53,0.93
WASP-36 b,1,2,1,1.53736596,0.02677,14.874,1.327,750.39663,2.361,0,1.26,1.08
WASP-35 b,1,1,1,3.16158,,14.572,1.3,225.6593,0.71,0,,1.05
WASP-34 b,1,1,1,4.31768,,11.209,1.0,177.9848,0.56,0,,0.96
WASP-33 b,1,2,1,1.21987,0.0239,17.856,1.593,665.21819,2.093,0,0.689,1.5
WASP-32 b,1,1,1,2.71866,,10.761,0.96,835.8929,2.63,0,,0.72
WASP-31 b,1,1,1,3.4059096,0.04659,17.363,1.549,151.916,0.478,0,0.172,1.16
WASP-3 b,1,3,1,1.84683,,15.917,1.42,772.3269,2.43,0,,1.62
WASP-29 b,1,1,1,3.92273,,8.631,0.77,73.1009,0.23,0,,0.77
WASP-28 b,1,1,1,3.40883495,0.0442,13.664,1.219,282.54945,0.889,0,0.65116,0.99
WASP-26 b,1,2,1,2.7566,,13.563,1.21,270.1555,0.85,0,,0.86
WASP-25 b,1,1,1,3.76483,,11.994,1.07,139.8452,0.44,0,,0.67
WASP-24 b,1,3,1,2.34121,,15.468,1.38,394.1092,1.24,0,,1.43
WASP-23 b,1,1,1,2.9444256,0.0376,10.783,0.962,280.95,0.884,0,,0.78
WASP-22 b,1,1,1,3.53269,,13.787,1.23,212.9461,0.67,0,,1.46
WASP-21 b,1,1,1,4.322482,0.052,11.99,1.07,95.345,0.3,0,0.32,
WASP-20 b,1,2,1,4.8996284,0.06,16.388,1.462,98.841,0.311,0,0.132,1.2
WASP-2 b,1,2,1,2.152175,0.03144,12.117,1.081,295.89973,0.931,0,0.914,0.9
WASP-193 b,1,1,1,6.2463345,0.0676,16.41,1.464,44.17815,0.139,0,0.059,1.06
WASP-192 b,1,1,1,2.8786765,0.0408,13.787,1.23,731.009,2.3,0,1.62,1.09
WASP-190 b,1,1,1,5.367753,0.0663,12.89,1.15,317.83,1.0,0,,1.35
WASP-19 b,1,1,1,0.78883852,0.01652,15.861,1.415,366.77398,1.154,0,0.506,0.96
WASP-189 b,1,1,1,2.724033,0.05053,18.147,1.619,632.47853,1.99,0,0.62199,2.03
WASP-187 b,1,1,1,5.147878,0.0653,18.383,1.64,254.264,0.8,0,0.224,1.54
WASP-186 b,1,1,1,5.026799,0.06,12.442,1.11,1341.2426,4.22,0,3.821,1.22
WASP-185 b,1,1,1,9.38755,0.0904,14.011,1.25,311.4734,0.98,0,0.66,1.12
WASP-184 b,1,1,1,5.1817,0.0627,14.908,1.33,181.1631,0.57,0,0.32,1.23
WASP-183 b,1,1,1,4.1117771,0.04632,16.477,1.47,159.55066,0.502,0,0.21,0.78
WASP-182 b,1,1,1,3.3769848,0.0451,9.528,0.85,47.03884,0.148,0,0.318,1.08
WASP-181 b,1,1,1,4.5195064,0.05427,13.271,1.184,95.03117,0.299,0,0.237,1.04
WASP-180 A b,1,2,1,3.409264,0.048,13.899,1.24,286.047,0.9,0,0.61,1.3
WASP-18 c,1,2,2,2.1558,0.035,,,55.2,0.17368,0,,1.22
WASP-18 b,1,2,2,0.94145223,0.02024,13.899,1.24,3241.84975,10.2,0,6.6,1.29
WASP-178 b,1,1,1,3.3448285,0.0558,20.288,1.81,527.5978,1.66,0,0.37,2.07
WASP-177 b,1,1,1,3.071722,0.03957,17.71,1.58,161.45764,0.508,0,0.172,0.88
WASP-176 b,1,1,1,3.899052,0.0535,16.87,1.505,271.74465,0.855,0,0.31,1.34
WASP-175 b,1,1,1,3.0652907,0.04403,13.54,1.208,314.6517,0.99,0,0.74,1.21
WASP-174 b,1,1,1,4.2337005,0.05503,16.107,1.437,104.88337,0.33,0,0.135,1.24
