pl_name,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_massjlim,pl_dens,st_mass
Kepler-20 e,1,2,6,6.0984882,0.0637,0.821,0.073,0.76,0.00239,1,7.5,0.93
Kepler-20 d,1,2,6,77.611455,0.3474,2.606,0.232,13.4,0.04216,0,4.1,0.93
Kepler-20 c,1,2,6,10.8540774,0.0936,2.894,0.258,11.1,0.03492,0,2.51,0.93
Kepler-20 b,1,2,6,3.6961049,0.04565,1.773,0.158,9.7,0.03052,0,9.4,0.93
Kepler-1999 b,1,1,1,8.7396758,0.0713,3.29,0.294,,,,,0.63
Kepler-1998 b,1,1,1,3.03267135,0.0405,0.6,0.054,,,,,0.96
Kepler-1997 b,1,1,1,26.7575866,0.1815,2.28,0.203,,,,,1.11
Kepler-1996 c,1,1,2,92.7297248,0.3608,2.81,0.251,,,,,0.75
Kepler-1996 b,1,1,2,32.376183,0.1789,2.26,0.202,,,,,0.75
Kepler-1995 b,1,1,1,73.7578875,0.3259,4.28,0.382,,,,,0.85
Kepler-1994 b,1,1,1,4.61225043,0.053,0.51,0.045,,,,,0.93
Kepler-1993 b,1,1,1,26.6565737,0.1943,4.15,0.37,,,,,1.37
Kepler-1992 b,1,1,1,15.6112238,0.1169,0.91,0.081,,,,,0.87
Kepler-1991 c,1,1,2,22.79020351,0.1528,2.57,0.229,,,,,0.91
Kepler-1991 b,1,1,2,13.26079792,0.1065,1.47,0.131,,,,,0.91
Kepler-1990 c,1,1,2,4.06844957,0.0504,0.98,0.087,,,,,1.03
Kepler-1990 b,1,1,2,1.73513619,0.0286,3.27,0.292,,,,,1.03
Kepler-199 c,1,1,2,67.093408,0.316,3.25,0.29,,,,,
Kepler-199 b,1,1,2,23.637604,0.158,3.11,0.277,,,,,
Kepler-1989 b,1,1,1,10.16102353,0.0918,4.62,0.412,,,,,1.0
Kepler-1988 b,1,1,1,11.49500229,0.1038,1.53,0.136,,,,,1.13
Kepler-1987 e,1,1,4,8.74292005,0.0765,1.92,0.171,,,,,0.8
Kepler-1987 d,1,1,4,5.64491415,0.0571,2.66,0.237,,,,,0.8
Kepler-1987 c,1,1,4,3.64830183,0.0427,1.33,0.119,,,,,0.8
Kepler-1987 b,1,1,4,2.345863,0.0318,1.23,0.11,,,,,0.8
Kepler-1986 b,1,1,1,19.5489666,0.1307,1.89,0.169,,,,,0.78
Kepler-1985 b,1,1,1,3.42064689,0.0426,2.27,0.203,,,,,0.88
Kepler-1984 b,1,1,1,1.99281234,0.0238,6.81,0.608,,,,,0.45
Kepler-1983 b,1,1,1,7.32851947,0.0689,2.33,0.208,,,,,0.81
Kepler-1982 b,1,1,1,3.82315697,0.0511,0.77,0.069,,,,,1.21
Kepler-1981 b,1,1,1,453.54212,1.3292,9.23,0.823,,,,,1.52
Kepler-1980 b,1,1,1,33.0257179,0.2049,2.21,0.197,,,,,1.05
Kepler-198 d,1,1,3,1.31184443,,1.53,0.136,,,,,0.97
Kepler-198 c,1,1,3,49.567416,0.259,2.47,0.22,,,,,
Kepler-198 b,1,1,3,17.790037,0.131,2.82,0.252,,,,,
Kepler-1979 b,1,1,1,18.5084526,0.1383,29.33,2.617,,,,,1.03
Kepler-1978 b,1,1,1,10.84969477,0.0914,2.67,0.238,,,,,0.87
Kepler-1977 b,1,1,1,4.53702121,0.0486,1.66,0.148,,,,,0.77
Kepler-1976 b,1,1,1,4.95931924,0.0565,12.21,1.089,,,,,0.98
Kepler-1972 c,1,1,2,11.3295,,0.868,0.077,2.11,0.00664,0,18.4,1.12
Kepler-1972 b,1,1,2,7.54425,,0.802,0.072,2.02,0.00636,0,22.2,1.12
Kepler-197 e,1,2,4,25.209715,0.164,0.91,0.081,,,,,
Kepler-197 d,1,2,4,15.677563,0.119,1.22,0.109,,,,,
Kepler-197 c,1,2,4,10.349695,0.09,1.23,0.11,,,,,
Kepler-197 b,1,2,4,5.599308,0.06,1.02,0.091,,,,,
Kepler-1969 b,1,1,1,6.64752007,,1.682,0.15,,,,,1.11
Kepler-1968 b,1,1,1,7.2810998,,1.5,0.134,,,,,0.84
Kepler-1967 b,1,1,1,7.28169012,,0.73,0.065,,,,,1.0
Kepler-1966 b,1,1,1,8.61742973,,1.105,0.099,,,,,0.8
Kepler-1965 b,1,1,1,41.86869812,,1.354,0.121,,,,,0.93
Kepler-1964 b,1,1,1,2.44082999,,1.781,0.159,,,,,0.75
Kepler-1963 b,1,1,1,1.96226001,,0.744,0.066,,,,,0.92
Kepler-1962 b,1,1,1,7.99145985,,1.215,0.108,,,,,1.0
Kepler-1961 b,1,1,1,5.6047101,,1.619,0.144,,,,,0.87
Kepler-1960 b,1,1,1,2.29794002,,1.307,0.117,,,,,1.12
Kepler-196 d,1,1,3,122.0800018,,2.661,0.237,,,,,0.81
Kepler-196 c,1,1,3,47.427737,0.24,2.24,0.2,,,,,
Kepler-196 b,1,1,3,20.739886,0.138,1.9,0.17,,,,,
Kepler-1959 b,1,1,1,6.38669014,,1.143,0.102,,,,,0.77
Kepler-1958 b,1,1,1,9.32861996,,2.051,0.183,,,,,0.96
Kepler-1957 b,1,1,1,2.18662,,0.944,0.084,,,,,0.74
Kepler-1956 b,1,1,1,5.94371986,,1.089,0.097,,,,,0.67
Kepler-1955 b,1,1,1,14.26519966,,1.167,0.104,,,,,1.05
Kepler-1954 b,1,1,1,5.88343,,1.802,0.161,,,,,0.94
Kepler-1953 b,1,1,1,6.24565983,,1.286,0.115,,,,,0.79
Kepler-1952 b,1,1,1,27.21080017,,1.239,0.111,,,,,0.92
Kepler-1951 b,1,1,1,20.65780067,,2.321,0.207,,,,,0.92
Kepler-1950 b,1,1,1,10.77690029,,1.527,0.136,,,,,0.76
Kepler-195 c,1,1,2,34.096863,0.197,1.55,0.138,,,,,
Kepler-195 b,1,1,2,8.307872,0.077,2.03,0.181,,,,,
Kepler-1949 b,1,1,1,2.20828009,,2.22,0.198,,,,,1.19
Kepler-1948 b,1,1,1,15.57129955,,1.033,0.092,,,,,0.58
Kepler-1947 b,1,1,1,6.9636302,,1.01,0.09,,,,,0.98
Kepler-1946 b,1,1,1,3.0351901,,2.488,0.222,,,,,0.89
Kepler-1945 b,1,1,1,6.08003998,,1.289,0.115,,,,,0.77
Kepler-1944 b,1,1,1,9.84257984,,2.76,0.246,,,,,1.06
Kepler-1943 b,1,1,1,4.85018015,,1.549,0.138,,,,,1.05
Kepler-1942 b,1,1,1,4.62604999,,2.117,0.189,,,,,0.85
Kepler-1941 b,1,1,1,31.33510017,,2.65,0.236,,,,,1.18
Kepler-1940 b,1,1,1,4.95061016,,1.547,0.138,,,,,0.8
Kepler-194 d,1,1,3,52.814973,0.275,2.4,0.214,,,,,
Kepler-194 c,1,1,3,17.308032,0.131,2.59,0.231,,,,,
Kepler-194 b,1,1,3,2.092281,0.032,1.51,0.135,,,,,
Kepler-1939 b,1,1,1,2.7906599,,1.165,0.104,,,,,0.65
Kepler-1938 b,1,1,1,13.06260014,,1.828,0.163,,,,,0.65
Kepler-1937 b,1,1,1,9.68859959,,3.023,0.27,,,,,1.19
Kepler-1936 b,1,1,1,126.5569992,,3.166,0.282,,,,,1.42
Kepler-1935 b,1,1,1,3.95140004,,2.503,0.223,,,,,0.84
Kepler-1934 b,1,1,1,1.41975999,,0.913,0.081,,,,,0.97
Kepler-1933 b,1,1,1,4.94329023,,1.18,0.105,,,,,0.96
Kepler-1932 b,1,1,1,0.52417702,,1.515,0.135,,,,,0.91
Kepler-1931 b,1,1,1,38.5760994,,2.653,0.237,,,,,1.17
Kepler-1930 b,1,1,1,13.02680016,,1.53,0.136,,,,,0.84
Kepler-193 c,1,1,2,50.697494,0.286,2.75,0.245,,,,,
Kepler-193 b,1,1,2,11.38848,0.106,2.39,0.213,,,,,
Kepler-1929 b,1,1,1,59.36249924,,3.073,0.274,,,,,1.01
Kepler-1928 b,1,1,1,19.57783,0.194,1.992,0.178,,,,,1.01
Kepler-1927 b,1,1,1,73.75039673,,3.406,0.304,,,,,1.41
Kepler-1926 b,1,1,1,42.87770081,,2.315,0.207,,,,,0.77
Kepler-1925 b,1,1,1,46.71640015,,3.002,0.268,,,,,1.06
Kepler-1924 b,1,1,1,15.33170033,,2.654,0.237,,,,,1.02
Kepler-1923 b,1,1,1,52.60969925,,1.96,0.175,,,,,1.11
Kepler-1922 b,1,1,1,13.22259998,,2.291,0.204,,,,,0.95
Kepler-1921 c,1,1,2,3.15722086,0.0454,1.41,0.126,,,,,1.25
Kepler-1921 b,1,1,2,20.03479958,,2.895,0.258,,,,,1.25
Kepler-1920 b,1,1,1,30.2541008,,2.954,0.264,,,,,1.24
Kepler-192 d,1,1,3,6.47027579,,1.02,0.091,,,,,0.94
Kepler-192 c,1,1,3,21.2234,0.15,2.79,0.249,,,,,
Kepler-192 b,1,1,3,9.926746,0.09,2.74,0.244,,,,,
Kepler-1919 b,1,1,1,37.88660049,,2.624,0.234,,,,,0.87
Kepler-1918 b,1,1,1,47.0564003,,2.298,0.205,,,,,0.97
Kepler-1917 b,1,1,1,12.90240002,,1.89,0.169,,,,,0.88
Kepler-1916 b,1,1,1,31.25429916,,2.618,0.234,,,,,1.18
Kepler-1915 b,1,1,1,13.83539963,,3.218,0.287,,,,,1.03
Kepler-1914 b,1,1,1,30.82789993,,2.943,0.263,,,,,1.05
Kepler-1913 b,1,1,1,14.1960001,,1.519,0.135,,,,,1.17
Kepler-1912 b,1,1,1,6.05921984,,1.357,0.121,,,,,0.98
Kepler-1911 b,1,1,1,5.9907999,,1.011,0.09,,,,,0.95
Kepler-1910 b,1,1,1,5.68876982,,1.184,0.106,,,,,0.64
Kepler-191 d,1,1,3,5.94504102,,2.28,0.203,,,,,0.84
Kepler-191 c,1,1,3,17.738506,0.128,1.86,0.166,,,,,
Kepler-191 b,1,1,3,9.939632,0.087,1.34,0.12,,,,,
Kepler-1909 b,1,1,1,2.39160991,,1.092,0.097,,,,,0.66
Kepler-1907 c,1,1,2,14.86390018,,1.155,0.103,,,,,0.75
Kepler-1907 b,1,1,2,5.65245008,,0.87,0.078,,,,,0.75
Kepler-1906 b,1,1,1,7.36268997,,2.776,0.248,,,,,0.99
Kepler-1905 b,1,1,1,3.42392993,,1.446,0.129,,,,,1.04
Kepler-1904 b,1,1,1,4.57702017,,1.39,0.124,,,,,0.53
Kepler-1903 b,1,1,1,17.0678997,,2.286,0.204,,,,,1.05
Kepler-1902 b,1,1,1,3.82222009,,1.176,0.105,,,,,0.52
Kepler-1901 b,1,1,1,3.48412991,,1.474,0.132,,,,,1.02
Kepler-1900 b,1,1,1,2.9862299,,1.623,0.145,,,,,1.1
Kepler-190 c,1,1,2,3.763024,0.045,1.46,0.13,,,,,
Kepler-190 b,1,1,2,2.019999,0.03,1.56,0.139,,,,,
Kepler-19 d,1,1,3,62.95,,,,22.5,0.07079,0,,0.94
Kepler-19 c,1,1,3,28.731,,,,13.1,0.04122,0,,0.94
Kepler-19 b,1,1,3,9.28699,0.0846,2.209,0.197,6.1,0.01919,0,3.1,0.94
Kepler-1899 b,1,1,1,4.0957799,,1.551,0.138,,,,,0.76
Kepler-1898 b,1,1,1,4.76562023,,0.934,0.083,,,,,0.84
Kepler-1897 b,1,1,1,24.22030067,,2.814,0.251,,,,,0.86
Kepler-1896 b,1,1,1,44.87020111,,3.099,0.277,,,,,1.07
Kepler-1895 b,1,1,1,6.07029009,,2.119,0.189,,,,,0.86
Kepler-1894 c,1,1,2,5.05368985,0.0576,1.21,0.108,,,,,1.0
Kepler-1894 b,1,1,2,2.76266003,,1.201,0.107,,,,,1.0
Kepler-1893 b,1,1,1,4.17936993,,1.706,0.152,,,,,0.97
Kepler-1892 b,1,1,1,6.33123016,,1.837,0.164,,,,,0.85
Kepler-1891 b,1,1,1,4.02229023,,1.521,0.136,,,,,0.87
Kepler-1890 b,1,1,1,4.82059002,,0.869,0.077,,,,,1.02
Kepler-189 c,1,1,2,20.134866,0.137,2.38,0.212,,,,,
Kepler-189 b,1,1,2,10.399931,0.088,1.21,0.108,,,,,
Kepler-1889 b,1,1,1,37.30369949,,2.944,0.263,,,,,0.86
Kepler-1888 b,1,1,1,11.39169979,,1.326,0.118,,,,,0.9
Kepler-1887 b,1,1,1,19.94750023,,2.925,0.261,,,,,0.96
Kepler-1886 b,1,1,1,24.2758007,,2.582,0.23,,,,,0.93
Kepler-1885 b,1,1,1,2.52255988,,1.511,0.135,,,,,0.98
Kepler-1884 b,1,1,1,8.98832035,,1.814,0.162,,,,,0.99
Kepler-1883 b,1,1,1,103.427002,,3.251,0.29,,,,,1.09
Kepler-1882 b,1,1,1,13.78730011,,1.487,0.133,,,,,1.07
Kepler-1881 b,1,1,1,159.3939972,,2.981,0.266,,,,,0.81
Kepler-1880 b,1,1,1,6.30921984,,2.117,0.189,,,,,0.52
Kepler-188 c,1,1,2,5.996553,0.066,3.19,0.285,,,,,
Kepler-188 b,1,1,2,2.061897,0.032,1.68,0.15,,,,,
Kepler-1879 b,1,1,1,10.61340046,,2.065,0.184,,,,,1.02
Kepler-1878 b,1,1,1,4.44587994,,2.92,0.261,,,,,0.96
Kepler-1877 b,1,1,1,2.37756991,,0.624,0.056,,,,,1.02
Kepler-1876 b,1,1,1,6.99205,0.0758,0.853,0.076,2.4,0.00755,1,19.0,1.19
Kepler-1875 b,1,1,1,34.45859909,,3.227,0.288,,,,,0.95
Kepler-1874 b,1,1,1,56.57320023,,2.211,0.197,,,,,0.76
Kepler-1873 b,1,1,1,0.558842,,1.626,0.145,,,,,0.9
Kepler-1872 b,1,1,1,3.82591009,,2.384,0.213,,,,,0.91
Kepler-1871 b,1,1,1,1.95270002,,2.422,0.216,,,,,1.02
Kepler-1870 b,1,1,1,3.60694003,,2.101,0.187,,,,,0.95
Kepler-187 c,1,1,2,10.640263,0.099,2.67,0.238,,,,,
Kepler-187 b,1,1,2,4.938864,0.059,1.41,0.126,,,,,
Kepler-1869 c,1,1,2,1.7168283,0.028,0.74,0.066,,,,,0.99
Kepler-1869 b,1,1,2,8.16736031,,1.12,0.1,,,,,0.99
Kepler-1868 b,1,1,1,211.0339966,,3.15,0.281,,,,,0.74
Kepler-1867 b,1,1,1,9.88735962,,1.16,0.103,,,,,0.91
Kepler-1866 b,1,1,1,11.66009998,,2.082,0.186,,,,,1.03
Kepler-1865 b,1,1,1,2.52400994,,1.577,0.141,,,,,0.85
Kepler-1864 b,1,1,1,3.88151002,,0.754,0.067,,,,,1.03
Kepler-1863 b,1,1,1,44.99760056,,2.263,0.202,,,,,1.1
Kepler-1862 b,1,1,1,16.05730057,,2.203,0.197,,,,,0.9
Kepler-1861 b,1,1,1,40.0306015,,2.207,0.197,,,,,1.16
Kepler-1860 b,1,1,1,12.73719978,,1.139,0.102,,,,,0.87
Kepler-186 f,1,1,5,129.9441,0.432,1.17,0.104,,,,,0.54
Kepler-186 e,1,1,5,22.407704,0.11,1.27,0.113,,,,,0.48
Kepler-186 d,1,1,5,13.342996,0.0781,1.4,0.125,,,,,0.48
Kepler-186 c,1,1,5,7.267302,0.0451,1.25,0.112,,,,,0.48
Kepler-186 b,1,1,5,3.8867907,0.0343,1.07,0.095,,,,,0.48
Kepler-1859 c,1,1,2,3.59645081,0.0473,1.66,0.148,,,,,1.09
Kepler-1859 b,1,1,2,2.72959995,,1.583,0.141,,,,,1.09
Kepler-1858 b,1,1,1,88.07160187,,2.422,0.216,,,,,0.79
Kepler-1857 b,1,1,1,8.94340992,,1.961,0.175,,,,,0.87
Kepler-1856 b,1,1,1,1.30200005,,1.734,0.155,,,,,0.78
Kepler-1855 b,1,1,1,0.72733098,,1.216,0.109,,,,,0.39
Kepler-1854 b,1,1,1,39.83110046,,2.587,0.231,,,,,0.8
Kepler-1853 b,1,1,1,48.88819885,,1.519,0.135,,,,,0.77
Kepler-1852 b,1,1,1,7.97094011,,1.886,0.168,,,,,0.93
Kepler-1851 b,1,1,1,12.02289963,,3.9,0.348,,,,,0.97
Kepler-1850 b,1,1,1,1.3858,,0.729,0.065,,,,,0.61
Kepler-185 c,1,1,2,20.729042,0.139,2.02,0.18,,,,,
Kepler-185 b,1,1,2,1.6329,0.026,1.17,0.104,,,,,
Kepler-1849 b,1,1,1,57.29290009,,2.387,0.213,,,,,0.71
Kepler-1848 b,1,1,1,5.60402012,,1.409,0.126,,,,,0.76
Kepler-1847 b,1,1,1,11.12969971,,2.745,0.245,,,,,1.04
Kepler-1846 b,1,1,1,14.82009983,,1.764,0.157,,,,,0.79
Kepler-1845 b,1,1,1,11.60649967,,2.438,0.218,,,,,0.69
Kepler-1844 b,1,1,1,3.92451,,3.036,0.271,,,,,0.94
Kepler-1843 b,1,1,1,25.54339981,,2.709,0.242,,,,,1.02
Kepler-1842 b,1,1,1,14.02639961,,2.354,0.21,,,,,1.06
Kepler-1841 b,1,1,1,25.88599968,,1.489,0.133,,,,,0.82
Kepler-1840 b,1,1,1,131.1900024,,2.778,0.248,,,,,0.77
Kepler-184 d,1,1,3,29.022358,0.179,2.49,0.222,,,,,
Kepler-184 c,1,1,3,20.303005,0.141,1.97,0.176,,,,,
Kepler-184 b,1,1,3,10.687576,0.092,2.36,0.211,,,,,
Kepler-1839 b,1,1,1,5.05675983,,1.949,0.174,,,,,1.03
Kepler-1838 b,1,1,1,12.14680004,,1.66,0.148,,,,,1.19
Kepler-1837 b,1,1,1,5.90608978,,2.067,0.184,,,,,1.05
Kepler-1836 b,1,1,1,5.25416994,,2.553,0.228,,,,,1.05
Kepler-1835 b,1,1,1,11.96409988,,3.534,0.315,,,,,0.92
Kepler-1834 c,1,1,2,0.76669152,0.015,1.22,0.109,,,,,0.77
Kepler-1834 b,1,1,2,4.60301018,,1.459,0.13,,,,,0.77
Kepler-1833 b,1,1,1,6.8921299,,1.3,0.116,,,,,1.29
Kepler-1832 b,1,1,1,3.13878989,,1.227,0.109,,,,,0.68
Kepler-1831 b,1,1,1,5.78387022,,1.97,0.176,,,,,1.12
Kepler-1830 b,1,1,1,56.49330139,,3.33,0.297,,,,,1.44
Kepler-183 c,1,1,2,11.637071,0.103,2.27,0.203,,,,,
Kepler-183 b,1,1,2,5.687945,0.064,2.06,0.184,,,,,
Kepler-1829 b,1,1,1,5.18671989,,2.479,0.221,,,,,0.87
Kepler-1828 b,1,1,1,10.2737999,,2.116,0.189,,,,,1.0
Kepler-1827 b,1,1,1,3.70061994,,1.856,0.166,,,,,0.92
Kepler-1826 b,1,1,1,1.61536002,,1.475,0.132,,,,,0.49
Kepler-1825 b,1,1,1,1.02586997,,1.422,0.127,,,,,0.83
Kepler-1824 b,1,1,1,95.61100006,,2.381,0.212,,,,,1.14
Kepler-1823 b,1,1,1,21.10339928,,2.086,0.186,,,,,1.07
Kepler-1822 b,1,1,1,22.13339996,,2.648,0.236,,,,,0.78
Kepler-1821 b,1,1,1,16.45809937,,2.592,0.231,,,,,0.95
Kepler-1820 b,1,1,1,31.03249931,,3.119,0.278,,,,,1.05
Kepler-182 c,1,1,2,20.684342,0.157,3.43,0.306,,,,,
Kepler-182 b,1,1,2,9.825792,0.096,2.58,0.23,,,,,
Kepler-1819 b,1,1,1,16.48690033,,3.904,0.348,,,,,1.17
Kepler-1818 b,1,1,1,4.64490986,,1.714,0.153,,,,,1.02
Kepler-1817 b,1,1,1,44.29919815,,2.273,0.203,,,,,0.88
Kepler-1816 b,1,1,1,91.50099945,,1.968,0.176,,,,,0.79
Kepler-1815 b,1,1,1,12.19139957,,2.749,0.245,,,,,0.86
Kepler-1814 c,1,1,2,0.62628177,0.0133,1.76,0.157,,,,,0.79
Kepler-1814 b,1,1,2,2.93535996,,2.37,0.211,,,,,0.79
Kepler-1813 b,1,1,1,2.81816006,,1.413,0.126,,,,,0.81
Kepler-1812 b,1,1,1,7.16521978,,2.325,0.207,,,,,1.16
Kepler-1811 b,1,1,1,76.42230225,,3.848,0.343,,,,,0.95
Kepler-1810 b,1,1,1,101.1330032,,3.918,0.35,,,,,0.92
Kepler-181 c,1,1,2,4.302149,0.049,1.99,0.178,,,,,
Kepler-181 b,1,1,2,3.137873,0.04,1.27,0.113,,,,,
Kepler-1809 b,1,1,1,3.7572999,,1.513,0.135,,,,,0.81
Kepler-1808 b,1,1,1,23.3404007,,3.025,0.27,,,,,0.77
Kepler-1807 b,1,1,1,10.86060047,,2.704,0.241,,,,,1.09
Kepler-1806 b,1,1,1,9.03332043,,2.356,0.21,,,,,0.88
Kepler-1805 b,1,1,1,8.84794045,,1.545,0.138,,,,,0.58
Kepler-1804 b,1,1,1,12.28849983,,1.596,0.142,,,,,0.93
Kepler-1802 c,1,1,2,33.13610077,,2.322,0.207,,,,,0.65
Kepler-1802 b,1,1,2,15.45020008,,1.671,0.149,,,,,0.65
Kepler-1801 c,1,1,2,116.583183,0.4572,2.91,0.26,,,,,0.94
Kepler-1801 b,1,1,2,10.44089985,,2.709,0.242,,,,,0.94
Kepler-1800 b,1,1,1,4.56202984,,0.997,0.089,,,,,1.33
Kepler-180 c,1,1,2,41.885775,0.229,3.01,0.269,,,,,
Kepler-180 b,1,1,2,13.817124,0.109,1.5,0.134,,,,,
Kepler-18 d,1,1,3,14.85888,0.1172,6.98,0.623,16.4,0.052,0,0.27,0.97
Kepler-18 c,1,1,3,7.64159,0.0752,5.49,0.49,17.3,0.054,0,0.59,0.97
Kepler-18 b,1,1,3,3.504725,0.0447,2.0,0.178,6.9,0.022,0,4.9,0.97
Kepler-1799 b,1,1,1,11.9296999,,4.128,0.368,,,,,1.02
Kepler-1798 b,1,1,1,16.85589981,,2.309,0.206,,,,,0.59
Kepler-1797 b,1,1,1,23.3593998,,3.058,0.273,,,,,1.07
Kepler-1796 b,1,1,1,29.4557991,,2.75,0.245,,,,,1.02
Kepler-1795 b,1,1,1,13.36019993,,1.663,0.148,,,,,0.77
Kepler-1794 b,1,1,1,9.76298046,,1.794,0.16,,,,,0.77
Kepler-1793 b,1,1,1,8.77999973,,3.79,0.338,,,,,0.85
Kepler-1792 b,1,1,1,4.1957798,,2.52,0.225,,,,,0.88
Kepler-1791 b,1,1,1,7.72086,,3.121,0.278,,,,,0.98
Kepler-1790 b,1,1,1,31.58889961,,3.145,0.281,,,,,1.02
Kepler-179 c,1,1,2,6.40013,0.064,2.0,0.178,,,,,
Kepler-179 b,1,1,2,2.735926,0.036,1.64,0.146,,,,,
Kepler-1789 b,1,1,1,80.23190308,,2.831,0.253,,,,,0.92
Kepler-1788 b,1,1,1,2.80012011,,2.379,0.212,,,,,0.69
Kepler-1787 b,1,1,1,39.31370163,,2.319,0.207,,,,,1.01
Kepler-1786 b,1,1,1,78.5460968,,3.163,0.282,,,,,1.06
Kepler-1785 b,1,1,1,19.58550072,,2.704,0.241,,,,,0.91
Kepler-1784 b,1,1,1,13.59049988,,2.799,0.25,,,,,0.89
Kepler-1783 b,1,1,1,8.27744007,,1.319,0.118,,,,,0.89
Kepler-1782 b,1,1,1,5.75622988,,2.229,0.199,,,,,0.79
Kepler-1781 b,1,1,1,4.88752985,,2.381,0.212,,,,,1.05
Kepler-1780 b,1,1,1,109.4449997,,3.606,0.322,,,,,0.87
Kepler-178 d,1,1,3,96.678988,0.397,3.95,0.352,,,,,
Kepler-178 c,1,1,3,20.552802,0.142,2.88,0.257,,,,,
Kepler-178 b,1,1,3,9.576694,0.085,2.9,0.259,,,,,
Kepler-1779 b,1,1,1,16.34359932,,3.033,0.271,,,,,1.01
Kepler-1778 b,1,1,1,10.08740044,,3.017,0.269,,,,,1.14
Kepler-1777 b,1,1,1,12.18420029,,2.132,0.19,,,,,0.98
Kepler-1776 b,1,1,1,35.01190186,,2.612,0.233,,,,,1.04
Kepler-1775 b,1,1,1,85.65399933,,3.648,0.325,,,,,1.15
Kepler-1774 b,1,1,1,59.77080154,,3.182,0.284,,,,,1.1
Kepler-1773 b,1,1,1,40.80970001,,3.505,0.313,,,,,1.24
Kepler-1772 b,1,1,1,3.21509004,,2.686,0.24,,,,,0.94
Kepler-1771 b,1,1,1,88.64399719,,4.055,0.362,,,,,0.94
Kepler-1770 b,1,1,1,16.84189987,,2.841,0.253,,,,,0.94
Kepler-177 c,1,1,2,49.40926,,8.73,0.779,14.7,0.04625,0,0.121,0.92
Kepler-177 b,1,1,2,36.8601,,3.5,0.312,5.84,0.01837,0,0.75,0.92
Kepler-1769 b,1,1,1,89.1934967,,4.465,0.398,,,,,1.06
Kepler-1768 b,1,1,1,15.13589954,,2.233,0.199,,,,,1.24
Kepler-1767 b,1,1,1,59.65829849,,3.013,0.269,,,,,0.89
Kepler-1766 b,1,1,1,105.0149994,,2.279,0.203,,,,,0.92
Kepler-1765 b,1,1,1,10.41889954,,2.495,0.223,,,,,0.95
Kepler-1764 b,1,1,1,70.46829987,,4.555,0.406,,,,,1.16
Kepler-1763 b,1,1,1,1.48028004,,1.147,0.102,,,,,1.03
Kepler-1762 b,1,1,1,29.53910065,,2.76,0.246,,,,,1.3
Kepler-1761 b,1,1,1,4.04354,,1.391,0.124,,,,,0.57
Kepler-1760 b,1,1,1,38.3260994,,2.29,0.204,,,,,0.82
Kepler-176 e,1,1,4,51.16579,,1.45,0.129,,,,,0.87
Kepler-176 d,1,1,4,25.751974,0.163,2.51,0.224,,,,,
Kepler-176 c,1,1,4,12.759712,0.102,2.6,0.232,,,,,
Kepler-176 b,1,1,4,5.433074,0.058,1.43,0.128,,,,,
Kepler-1759 b,1,1,1,3.7202301,,0.904,0.081,,,,,0.76
Kepler-1758 b,1,1,1,9.97721004,,2.571,0.229,,,,,1.03
Kepler-1757 b,1,1,1,19.65640068,,2.947,0.263,,,,,0.83
Kepler-1756 b,1,1,1,2.35575008,,1.472,0.131,,,,,0.78
Kepler-1755 b,1,1,1,24.81209946,,5.917,0.528,,,,,1.0
Kepler-1754 b,1,1,1,8.19594955,,2.44,0.218,,,,,0.73
Kepler-1753 b,1,1,1,16.00460052,,2.227,0.199,,,,,0.86
Kepler-1752 b,1,1,1,56.35850143,,4.541,0.405,,,,,0.82
Kepler-1751 b,1,1,1,7.01731014,,1.824,0.163,,,,,0.97
Kepler-1750 b,1,1,1,205.9120026,,6.004,0.536,,,,,0.98
Kepler-175 c,1,1,2,34.035257,0.213,3.1,0.277,,,,,
Kepler-175 b,1,1,2,11.903515,0.105,2.56,0.228,,,,,
Kepler-1749 b,1,1,1,14.53409958,,1.613,0.144,,,,,0.55
Kepler-1748 b,1,1,1,5.82352018,,2.713,0.242,,,,,0.92
Kepler-1747 b,1,1,1,6.23031998,,4.265,0.381,,,,,0.98
Kepler-1746 b,1,1,1,321.2120056,,8.935,0.797,,,,,1.09
Kepler-1745 b,1,1,1,3.01619005,,1.929,0.172,,,,,0.99
Kepler-1744 b,1,1,1,37.10110092,,3.768,0.336,,,,,0.89
Kepler-1743 b,1,1,1,7.64971018,,1.599,0.143,,,,,1.27
Kepler-1742 b,1,1,1,49.47819901,,2.178,0.194,,,,,0.94
Kepler-1741 b,1,1,1,2.75759006,,1.273,0.114,,,,,0.45
Kepler-1740 b,1,1,1,8.17240047,,3.323,0.296,,,,,0.94
Kepler-174 d,1,1,3,247.35373,0.677,2.19,0.195,,,,,
Kepler-174 c,1,1,3,44.000529,0.214,1.49,0.133,,,,,
Kepler-174 b,1,1,3,13.98179,0.1,1.96,0.175,,,,,
Kepler-1739 b,1,1,1,7.34370995,,2.431,0.217,,,,,0.86
Kepler-1738 b,1,1,1,7.67463016,,2.825,0.252,,,,,1.08
Kepler-1737 b,1,1,1,64.61750031,,5.395,0.481,,,,,0.83
Kepler-1736 b,1,1,1,37.81029892,,3.877,0.346,,,,,0.98
Kepler-1735 b,1,1,1,7.71792984,,1.194,0.107,,,,,0.54
Kepler-1734 b,1,1,1,6.7968502,,3.089,0.276,,,,,1.05
